PO Code,Created,Type,PO Created By,PO Approved Date,Delivery Date,Item Type Name,Item SkuCode,Category,Vendor Name,Vendor Code,Vendor SkuCode,Order Quantity,Recieved Quantity,Rejected Quantity,Pending Quantity,PO Ageing (Days),% Pending,% Rejection,Facility,Unit Price,Sub Total,VAT,CST,Total,Purchase Order Status,Updated
PO0009,04/01/2017 15:52,Manual,udithurria@vendorskart.com,04/01/2017 15:52,06/01/2017,HRU Fog Lamp Bezel Chrome for Maruti Suzuki Swift (Set of 2),VKAMCHROME_SWIFT,Vendorskart_Automotive,castle enterprise,castle_enterprise,VKAMCHROME_SWIFT,100,100,0,0,93,0,0,VENDORSKART MUNDKA 1 FACILITY,150,15000,0,0,15000,COMPLETE,09/01/2017 11:48
PO0157,01/02/2017 17:09,Manual,udithurria@vendorskart.com,01/02/2017 17:09,04/02/2017,HRU Fog Lamp Bezel Chrome for Maruti Suzuki Swift (Set of 2),VKAMCHROME_SWIFT,Vendorskart_Automotive,castle enterprise,castle_enterprise,VKAMCHROME_SWIFT,120,120,0,0,65,0,0,VENDORSKART MUNDKA 1 FACILITY,150,18000,0,0,18000,COMPLETE,02/02/2017 10:06
PO0178,04/02/2017 19:40,Manual,udithurria@vendorskart.com,06/02/2017 17:12,25/02/2017,Autofy Silver Universal Motorcycle Bike Body Cover with Mirror Pockets [95],VKAMCOVER0001,Vendorskart_Automotive,cash_self,cash_party-1,VKAMCOVER0001,10,10,0,0,62,0,0,VENDORSKART MUNDKA 1 FACILITY,90,900,0,0,900,COMPLETE,06/02/2017 18:43
PO0368,31/03/2017 19:07,Manual,udithurria@vendorskart.com,31/03/2017 19:08,01/04/2017,Autofy Silver Universal Motorcycle Bike Body Cover with Mirror Pockets [95],VKAMCOVER0001,Vendorskart_Automotive,cash_vk,cash_vk,VKAMCOVER0001,5,5,0,0,7,0,0,VENDORSKART MUNDKA 1 FACILITY,90,450,0,0,450,COMPLETE,03/04/2017 13:48
PO0236,21/02/2017 19:50,Manual,udithurria@vendorskart.com,21/02/2017 19:56,25/02/2017,Autofy Blue Universal Motorcycle Bike Body Cover with Mirror Pockets[125],VKAMCOVER0002,Vendorskart_Automotive,cash_self,cash_party-1,VKAMCOVER0002,4,4,0,0,45,0,0,VENDORSKART MUNDKA 1 FACILITY,135,540,0,0,540,COMPLETE,22/02/2017 13:59
PO0298,08/03/2017 19:09,Manual,udithurria@vendorskart.com,08/03/2017 19:09,11/03/2017,Autofy Blue Universal Motorcycle Bike Body Cover with Mirror Pockets[125],VKAMCOVER0002,Vendorskart_Automotive,cash_vk,cash_vk,VKAMCOVER0002,9,9,0,0,30,0,0,VENDORSKART MUNDKA 1 FACILITY,130,1170,0,0,1170,COMPLETE,09/03/2017 12:13
PO0258,24/02/2017 10:47,Manual,udithurria@vendorskart.com,24/02/2017 10:47,25/02/2017,[MeshDesign-Black-XL] Autofy Universal Mesh Bike Seat Cover for All Bikes (Black),VKAMCOVER0007,Vendorskart_Automotive,ARU ENTERPRISES,ARU_SEATCOVERS,VKAMCOVER0007,50,50,0,0,42,0,0,VENDORSKART MUNDKA 1 FACILITY,56,2800,0,0,2800,COMPLETE,24/02/2017 13:53
PO0258,24/02/2017 10:47,Manual,udithurria@vendorskart.com,24/02/2017 10:47,25/02/2017,[MeshDesign-Black-XXL] Autofy Universal Mesh Bike Seat Cover for All Bikes (Black),VKAMCOVER0008,Vendorskart_Automotive,ARU ENTERPRISES,ARU_SEATCOVERS,VKAMCOVER0008,50,50,0,0,42,0,0,VENDORSKART MUNDKA 1 FACILITY,63,3150,0,0,3150,COMPLETE,24/02/2017 12:50
PO0258,24/02/2017 10:47,Manual,udithurria@vendorskart.com,24/02/2017 10:47,25/02/2017,[MeshDesign-Black-XXXL] Autofy Universal Mesh Bike Seat Cover for All Non-Geared Vehicles Scooties (Black),VKAMCOVER0009,Vendorskart_Automotive,ARU ENTERPRISES,ARU_SEATCOVERS,VKAMCOVER0009,50,50,1,0,42,0,2,VENDORSKART MUNDKA 1 FACILITY,70,3500,0,0,3500,COMPLETE,24/02/2017 13:54
PO0264,24/02/2017 18:57,Manual,udithurria@vendorskart.com,24/02/2017 18:57,25/02/2017,[MeshDesign-Black-XXXL] Autofy Universal Mesh Bike Seat Cover for All Non-Geared Vehicles Scooties (Black),VKAMCOVER0009,Vendorskart_Automotive,ARU ENTERPRISES,ARU_SEATCOVERS,VKAMCOVER0009,1,1,0,0,42,0,0,VENDORSKART MUNDKA 1 FACILITY,70,70,0,0,70,COMPLETE,27/02/2017 13:47
PO0037,08/01/2017 17:05,Manual,udithurria@vendorskart.com,08/01/2017 17:05,27/01/2017,Autofy Chrome Colour Jaguar Universal Emblem for All Bikes (Set of 2),VKAMEMBLEM0001,Vendorskart_Automotive,cash_self,cash_party-1,VKAMEMBLEM0001,10,10,0,0,89,0,0,VENDORSKART MUNDKA 1 FACILITY,50,500,0,0,500,COMPLETE,10/01/2017 10:20
PO0188,07/02/2017 12:48,Manual,udithurria@vendorskart.com,07/02/2017 12:49,09/02/2017,Autofy Chrome Colour Jaguar Universal Emblem for All Bikes (Set of 2),VKAMEMBLEM0001,Vendorskart_Automotive,cash_self,cash_party-1,VKAMEMBLEM0001,60,60,0,0,59,0,0,VENDORSKART MUNDKA 1 FACILITY,65,3900,0,0,3900,COMPLETE,08/02/2017 18:34
PO0302,08/03/2017 19:37,Manual,udithurria@vendorskart.com,08/03/2017 19:37,11/03/2017,Autofy Chrome Colour Jaguar Universal Emblem for All Bikes (Set of 2),VKAMEMBLEM0001,Vendorskart_Automotive,PARDESI AUTO SPARES,Pardesi_Auto_Spares,VKAMEMBLEM0001,170,170,0,0,30,0,0,VENDORSKART MUNDKA 1 FACILITY,50,8500,0,0,8500,COMPLETE,09/03/2017 12:35
PO0303,09/03/2017 14:45,Manual,udithurria@vendorskart.com,09/03/2017 14:46,11/03/2017,Autofy Chrome Colour Jaguar Universal Emblem for All Bikes (Set of 2),VKAMEMBLEM0001,Vendorskart_Automotive,PARDESI AUTO SPARES,Pardesi_Auto_Spares,VKAMEMBLEM0001,1,1,0,0,29,0,0,VENDORSKART MUNDKA 1 FACILITY,50,50,0,0,50,COMPLETE,09/03/2017 18:06
PO0318,14/03/2017 17:35,Manual,udithurria@vendorskart.com,14/03/2017 17:35,18/03/2017,Autofy Jaguar Universal Emblem with Fitting for All Bikes (Set of 2  Chrome),VKAMEMBLEM0002,Vendorskart_Automotive,cash_vk,cash_vk,VKAMEMBLEM0002,54,54,0,0,24,0,0,VENDORSKART MUNDKA 1 FACILITY,60,3240,0,0,3240,COMPLETE,15/03/2017 12:31
PO0337,18/03/2017 19:01,Manual,udithurria@vendorskart.com,18/03/2017 19:01,25/03/2017,Autofy Jaguar Universal Emblem with Fitting for All Bikes (Set of 2  Chrome),VKAMEMBLEM0002,Vendorskart_Automotive,GURU HARKISHAN AUTOMOBILES,GURU_HARKISHAN,VKAMEMBLEM0002,16,16,0,0,20,0,0,VENDORSKART MUNDKA 1 FACILITY,60,960,0,0,960,COMPLETE,20/03/2017 13:41
PO0340,21/03/2017 10:41,Manual,udithurria@vendorskart.com,21/03/2017 10:42,23/03/2017,Autofy Jaguar Universal Emblem with Fitting for All Bikes (Set of 2  Chrome),VKAMEMBLEM0002,Vendorskart_Automotive,cash_vk,cash_vk,VKAMEMBLEM0002,30,0,0,30,17,100,0,VENDORSKART MUNDKA 1 FACILITY,53.33,1600,200,0,1800,COMPLETE,21/03/2017 10:43
PO0345,21/03/2017 10:45,Manual,jitendra.singh@vendorskart.com,21/03/2017 10:45,25/03/2017,Autofy Jaguar Universal Emblem with Fitting for All Bikes (Set of 2  Chrome),VKAMEMBLEM0002,Vendorskart_Automotive,cash_vk,cash_vk,VKAMEMBLEM0002,30,30,0,0,17,0,0,VENDORSKART MUNDKA 1 FACILITY,60,1800,0,0,1800,COMPLETE,21/03/2017 11:20
PO0048,09/01/2017 12:34,Manual,bib.unicomm@gmail.com,09/01/2017 12:35,28/01/2017,Autofy Wild Bore Chrome Silencer / Exhaust / Muffler for Royal Enfield Bullet Standard  Royal Enfield Bullet Classic  Royal Enfield Bullet Electra  Royal Enfield Thunderbird (with Glasswool),VKAMEXHAUST0001,Vendorskart_Automotive,VIKAS AUTOMOBILES,VIKAS_AUTOMOBILES,VKAMEXHAUST0001,20,16,0,4,88,20,0,VENDORSKART MUNDKA 1 FACILITY,1300,26000,0,0,26000,COMPLETE,18/01/2017 13:26
PO0099,13/01/2017 12:52,Manual,udithurria@vendorskart.com,13/01/2017 12:52,14/01/2017,Autofy Wild Bore Chrome Silencer / Exhaust / Muffler for Royal Enfield Bullet Standard  Royal Enfield Bullet Classic  Royal Enfield Bullet Electra  Royal Enfield Thunderbird (with Glasswool),VKAMEXHAUST0001,Vendorskart_Automotive,PGX AUTO ACCESSORIES,PGX_AUTO_ACCESSORIES,VKAMEXHAUST0001,2,2,0,0,84,0,0,VENDORSKART MUNDKA 1 FACILITY,1300,2600,0,0,2600,COMPLETE,13/01/2017 14:44
PO0189,09/02/2017 11:24,Manual,udithurria@vendorskart.com,09/02/2017 11:24,09/02/2017,Autofy Wild Bore Chrome Silencer / Exhaust / Muffler for Royal Enfield Bullet Standard  Royal Enfield Bullet Classic  Royal Enfield Bullet Electra  Royal Enfield Thunderbird (with Glasswool),VKAMEXHAUST0001,Vendorskart_Automotive,PGX AUTO ACCESSORIES,PGX_AUTO_ACCESSORIES,VKAMEXHAUST0001,5,0,0,5,57,100,0,VENDORSKART MUNDKA 1 FACILITY,1300,6500,0,0,6500,COMPLETE,09/02/2017 16:57
PO0190,07/02/2017 18:24,Manual,udithurria@vendorskart.com,07/02/2017 18:24,25/02/2017,Autofy Wild Bore Chrome Silencer / Exhaust / Muffler for Royal Enfield Bullet Standard  Royal Enfield Bullet Classic  Royal Enfield Bullet Electra  Royal Enfield Thunderbird (with Glasswool),VKAMEXHAUST0001,Vendorskart_Automotive,VIKAS AUTOMOBILES,VIKAS_AUTOMOBILES,VKAMEXHAUST0001,30,30,0,0,59,0,0,VENDORSKART MUNDKA 1 FACILITY,1300,39000,0,0,39000,COMPLETE,10/02/2017 10:37
PO0087,12/01/2017 13:02,Manual,udithurria@vendorskart.com,12/01/2017 22:41,28/01/2017,Autofy Shark Matte Black Silencer / Exhaust / Muffler for Royal Enfield Bullet Standard  Royal Enfield Bullet Classic  Royal Enfield Bullet Electra  Royal Enfield Thunderbird (with Glasswool),VKAMEXHAUST0003,Vendorskart_Automotive,PGX AUTO ACCESSORIES,PGX_AUTO_ACCESSORIES,VKAMEXHAUST0003,30,30,0,0,85,0,0,VENDORSKART MUNDKA 1 FACILITY,1400,42000,0,0,42000,COMPLETE,12/01/2017 23:37
PO0045,08/01/2017 18:56,Manual,udithurria@vendorskart.com,08/01/2017 18:57,30/01/2017,Autofy Shark Chrome Silencer / Exhaust / Muffler for Royal Enfield Bullet Standard  Royal Enfield Bullet Classic  Royal Enfield Bullet Electra  Royal Enfield Thunderbird (with Glasswool),VKAMEXHAUST0004,Vendorskart_Automotive,PGX AUTO ACCESSORIES,PGX_AUTO_ACCESSORIES,VKAMEXHAUST0004,2,2,0,0,89,0,0,VENDORSKART MUNDKA 1 FACILITY,1400,2800,0,0,2800,COMPLETE,10/01/2017 14:22
PO0087,12/01/2017 13:02,Manual,udithurria@vendorskart.com,12/01/2017 22:41,28/01/2017,Autofy Shark Chrome Silencer / Exhaust / Muffler for Royal Enfield Bullet Standard  Royal Enfield Bullet Classic  Royal Enfield Bullet Electra  Royal Enfield Thunderbird (with Glasswool),VKAMEXHAUST0004,Vendorskart_Automotive,PGX AUTO ACCESSORIES,PGX_AUTO_ACCESSORIES,VKAMEXHAUST0004,18,18,0,0,85,0,0,VENDORSKART MUNDKA 1 FACILITY,1400,25200,0,0,25200,COMPLETE,12/01/2017 23:36
PO0349,22/03/2017 20:12,Manual,udithurria@vendorskart.com,22/03/2017 20:12,25/03/2017,Autofy Shark Chrome Silencer / Exhaust / Muffler for Royal Enfield Bullet Standard  Royal Enfield Bullet Classic  Royal Enfield Bullet Electra  Royal Enfield Thunderbird (with Glasswool),VKAMEXHAUST0004,Vendorskart_Automotive,PGX AUTO ACCESSORIES,PGX_AUTO_ACCESSORIES,VKAMEXHAUST0004,1,1,0,0,16,0,0,VENDORSKART MUNDKA 1 FACILITY,1400,1400,0,0,1400,COMPLETE,24/03/2017 10:55
PO0369,31/03/2017 19:05,Manual,udithurria@vendorskart.com,31/03/2017 19:05,01/04/2017,Autofy Shark Chrome Silencer / Exhaust / Muffler for Royal Enfield Bullet Standard  Royal Enfield Bullet Classic  Royal Enfield Bullet Electra  Royal Enfield Thunderbird (with Glasswool),VKAMEXHAUST0004,Vendorskart_Automotive,PGX AUTO ACCESSORIES,PGX_AUTO_ACCESSORIES,VKAMEXHAUST0004,1,1,0,0,7,0,0,VENDORSKART MUNDKA 1 FACILITY,1400,1400,0,0,1400,COMPLETE,03/04/2017 14:17
